riesgoso,normalized-losses,wheel-base,height,bore,stroke,peak-rpm,price,brand_int,fuel_gas,aspiration_int,body-style_int,drive-wheels-int,engine-location_int,engine-type_int,num-of-cilinders-int,fuel-system_int
no-riesgoso,169,88.6,48.8,3.47,2.68,5000,13495,0,1,0,0,76,0,0,4,0
no-riesgoso,169,88.6,48.8,3.47,2.68,5000,16500,0,1,0,0,76,0,0,4,0
no-riesgoso,126,94.5,52.4,2.68,3.47,5000,16500,0,1,0,1,76,0,1,6,0
no-riesgoso,164,99.8,54.3,3.19,3.4,5500,13950,1,1,0,2,120,0,2,4,0
no-riesgoso,164,99.4,54.3,3.19,3.4,5500,17450,1,1,0,2,9,0,2,5,0
no-riesgoso,125,99.8,53.1,3.19,3.4,5500,15250,1,1,0,2,120,0,2,5,0
no-riesgoso,158,105.8,55.7,3.19,3.4,5500,17710,1,1,0,2,120,0,2,5,0
no-riesgoso,126,105.8,55.7,3.19,3.4,5500,18920,1,1,0,3,120,0,2,5,0
no-riesgoso,158,105.8,55.9,3.13,3.4,5500,23875,1,1,1,2,120,0,2,5,0
riesgoso,108,99.5,52.0,3.13,3.4,5500,11472,1,1,1,1,9,0,2,5,0
no-riesgoso,192,101.2,54.3,3.5,2.8,5800,16430,2,1,0,2,76,0,2,4,0
riesgoso,192,101.2,54.3,3.5,2.8,5800,16925,2,1,0,2,76,0,2,4,0
riesgoso,188,101.2,54.3,3.31,3.19,4250,20970,2,1,0,2,76,0,2,6,0
riesgoso,188,101.2,54.3,3.31,3.19,4250,21105,2,1,0,2,76,0,2,6,0
no-riesgoso,126,103.5,55.7,3.31,3.19,4250,24565,2,1,0,2,76,0,2,6,0
riesgoso,108,103.5,55.7,3.62,3.39,5400,30760,2,1,0,2,76,0,2,6,0
riesgoso,108,103.5,53.7,3.62,3.39,5400,41315,2,1,0,2,76,0,2,6,0
riesgoso,108,110.0,56.3,3.62,3.39,5400,36880,2,1,0,2,76,0,2,6,0
no-riesgoso,121,88.4,53.2,2.91,3.03,5100,5151,3,1,0,1,120,0,3,3,1
no-riesgoso,98,94.5,52.0,3.03,3.11,5400,6295,3,1,0,1,120,0,2,4,1
riesgoso,81,94.5,52.0,3.03,3.11,5400,6575,3,1,0,2,120,0,2,4,1
no-riesgoso,118,93.7,50.8,2.97,3.23,5500,5572,4,1,0,1,120,0,2,4,1
no-riesgoso,118,93.7,50.8,2.97,3.23,5500,6377,4,1,0,1,120,0,2,4,1
no-riesgoso,118,93.7,50.8,3.03,3.39,5500,7957,4,1,1,1,120,0,2,4,0
no-riesgoso,148,93.7,50.6,2.97,3.23,5500,6229,4,1,0,1,120,0,2,4,1
no-riesgoso,148,93.7,50.6,2.97,3.23,5500,6692,4,1,0,2,120,0,2,4,1
no-riesgoso,148,93.7,50.6,2.97,3.23,5500,7609,4,1,0,2,120,0,2,4,1
no-riesgoso,148,93.7,50.6,3.03,3.39,5500,8558,4,1,1,2,120,0,2,4,0
riesgoso,110,103.3,59.8,3.34,3.46,5000,8921,4,1,0,3,120,0,2,4,1
no-riesgoso,145,95.9,50.2,3.6,3.9,5000,12964,4,1,1,1,120,0,2,4,2
no-riesgoso,137,86.6,50.8,2.91,3.41,4800,6479,5,1,0,1,120,0,2,4,3
no-riesgoso,137,86.6,50.8,2.91,3.41,6000,6855,5,1,0,1,120,0,2,4,3
no-riesgoso,101,93.7,52.6,2.91,3.07,5500,5399,5,1,0,1,120,0,2,4,3
no-riesgoso,101,93.7,52.6,2.91,3.41,6000,6529,5,1,0,1,120,0,2,4,3
no-riesgoso,101,93.7,52.6,2.91,3.41,6000,7129,5,1,0,1,120,0,2,4,3
riesgoso,110,96.5,54.5,2.91,3.41,6000,7295,5,1,0,2,120,0,2,4,3
riesgoso,78,96.5,58.3,2.92,3.41,6000,7295,5,1,0,3,120,0,2,4,3
riesgoso,106,96.5,53.3,3.15,3.58,5800,7895,5,1,0,1,120,0,2,4,3
riesgoso,106,96.5,53.3,3.15,3.58,5800,9095,5,1,0,1,120,0,2,4,3
riesgoso,85,96.5,54.1,3.15,3.58,5800,8845,5,1,0,2,120,0,2,4,3
riesgoso,85,96.5,54.1,3.15,3.58,5800,10295,5,1,0,2,120,0,2,4,3
riesgoso,85,96.5,54.1,3.15,3.58,5800,12945,5,1,0,2,120,0,2,4,0
no-riesgoso,107,96.5,51.0,3.15,3.58,5500,10345,5,1,0,2,120,0,2,4,1
riesgoso,108,94.3,53.5,3.31,3.23,4800,6785,6,1,0,2,76,0,2,4,1
no-riesgoso,126,94.5,52.0,3.03,3.11,5400,7117,6,1,0,2,120,0,2,4,1
riesgoso,108,94.5,52.0,3.03,3.11,5400,11472,6,1,0,2,120,0,2,4,1
no-riesgoso,125,96.0,51.4,3.43,3.23,5000,11048,6,1,0,1,76,0,2,4,4
riesgoso,145,113.0,52.8,3.63,4.17,4750,32250,7,1,0,2,76,0,0,6,0
riesgoso,108,113.0,52.8,3.63,4.17,4750,35550,7,1,0,2,76,0,0,6,0
riesgoso,108,102.0,47.8,3.54,2.76,5000,36000,7,1,0,2,76,0,1,12,0
no-riesgoso,104,93.1,54.1,3.03,3.15,5000,5195,8,1,0,1,120,0,2,4,1
no-riesgoso,104,93.1,54.1,3.03,3.15,5000,6095,8,1,0,1,120,0,2,4,1
no-riesgoso,104,93.1,54.1,3.03,3.15,5000,6795,8,1,0,1,120,0,2,4,1
no-riesgoso,113,93.1,54.1,3.03,3.15,5000,6695,8,1,0,2,120,0,2,4,1
no-riesgoso,113,93.1,54.1,3.08,3.15,5000,7395,8,1,0,2,120,0,2,4,1
no-riesgoso,150,95.3,49.6,3.4738095238095235,3.305,6000,10945,8,1,0,1,76,0,4,2,5
no-riesgoso,150,95.3,49.6,3.4738095238095235,3.305,6000,11845,8,1,0,1,76,0,4,2,5
no-riesgoso,150,95.3,49.6,3.4738095238095235,3.305,6000,13645,8,1,0,1,76,0,4,2,5
no-riesgoso,150,95.3,49.6,3.4738095238095235,3.305,6000,15645,8,1,0,1,76,0,4,2,0
no-riesgoso,129,98.8,53.7,3.39,3.39,4800,8845,8,1,0,1,120,0,2,4,1
riesgoso,115,98.8,55.5,3.39,3.39,4800,8495,8,1,0,2,120,0,2,4,1
no-riesgoso,129,98.8,53.7,3.39,3.39,4800,10595,8,1,0,1,120,0,2,4,1
riesgoso,115,98.8,55.5,3.39,3.39,4800,10245,8,1,0,2,120,0,2,4,1
riesgoso,108,98.8,55.5,3.39,3.39,4650,10795,8,0,0,2,120,0,2,4,6
riesgoso,115,98.8,55.5,3.39,3.39,4800,11245,8,1,0,1,120,0,2,4,1
riesgoso,118,104.9,54.4,3.76,3.16,5000,18280,8,1,0,2,76,0,2,4,0
riesgoso,108,104.9,54.4,3.43,3.64,4200,18344,8,0,0,2,76,0,2,4,6
riesgoso,93,110.0,56.5,3.58,3.64,4350,25552,9,0,1,2,76,0,2,5,6
riesgoso,93,110.0,58.7,3.58,3.64,4350,28248,9,0,1,3,76,0,2,5,6
riesgoso,93,106.7,54.9,3.58,3.64,4350,28176,9,0,1,4,76,0,2,5,6
riesgoso,93,115.6,56.3,3.58,3.64,4350,31600,9,0,1,2,76,0,2,5,6
riesgoso,83,115.6,56.5,3.46,3.1,4750,34184,9,1,0,2,76,0,1,8,0
no-riesgoso,142,96.6,50.8,3.46,3.1,4750,35056,9,1,0,0,76,0,1,8,0
riesgoso,108,120.9,56.7,3.8,3.35,4500,40960,9,1,0,2,76,0,1,8,0
no-riesgoso,126,112.0,55.4,3.8,3.35,4500,45400,9,1,0,4,76,0,1,8,0
no-riesgoso,126,102.7,54.8,3.78,3.12,5000,16503,10,1,1,1,76,0,2,4,0
no-riesgoso,161,93.7,50.8,2.97,3.23,5500,5389,11,1,0,1,120,0,2,4,1
no-riesgoso,161,93.7,50.8,2.97,3.23,5500,6189,11,1,0,1,120,0,2,4,1
no-riesgoso,161,93.7,50.8,2.97,3.23,5500,6669,11,1,0,1,120,0,2,4,1
no-riesgoso,161,93.0,50.8,3.03,3.39,5500,7689,11,1,1,1,120,0,2,4,7
no-riesgoso,153,96.3,49.4,3.17,3.46,5500,9959,11,1,1,1,120,0,2,4,7
no-riesgoso,153,96.3,49.4,3.35,3.46,5000,8499,11,1,0,1,120,0,2,4,1
no-riesgoso,169,95.9,50.2,3.58,3.86,5000,12629,11,1,1,1,120,0,2,4,7
no-riesgoso,169,95.9,50.2,3.59,3.86,5000,14869,11,1,1,1,120,0,2,4,7
no-riesgoso,169,95.9,50.2,3.59,3.86,5000,14489,11,1,1,1,120,0,2,4,7
no-riesgoso,125,96.3,51.6,3.35,3.46,5000,6989,11,1,0,2,120,0,2,4,1
no-riesgoso,125,96.3,51.6,3.35,3.46,5000,8189,11,1,0,2,120,0,2,4,1
no-riesgoso,125,96.3,51.6,3.17,3.46,5500,9279,11,1,1,2,120,0,2,4,7
riesgoso,137,96.3,51.6,3.17,3.46,5500,9279,11,1,0,2,120,0,2,4,7
no-riesgoso,128,94.5,54.5,3.15,3.29,5200,5499,12,1,0,2,120,0,2,4,1
no-riesgoso,128,94.5,54.5,2.99,3.47,4800,7099,12,0,0,2,120,0,2,4,6
no-riesgoso,128,94.5,54.5,3.15,3.29,5200,6649,12,1,0,2,120,0,2,4,1
no-riesgoso,122,94.5,54.5,3.15,3.29,5200,6849,12,1,0,2,120,0,2,4,1
no-riesgoso,103,94.5,53.5,3.15,3.29,5200,7349,12,1,0,3,120,0,2,4,1
no-riesgoso,128,94.5,54.5,3.15,3.29,5200,7299,12,1,0,2,120,0,2,4,1
no-riesgoso,128,94.5,53.3,3.15,3.29,5200,7799,12,1,0,1,120,0,2,4,1
no-riesgoso,122,94.5,54.5,3.15,3.29,5200,7499,12,1,0,2,120,0,2,4,1
no-riesgoso,103,94.5,53.5,3.15,3.29,5200,7999,12,1,0,3,120,0,2,4,1
no-riesgoso,168,95.1,53.3,3.15,3.29,5200,8249,12,1,0,4,120,0,2,4,1
riesgoso,106,97.2,54.7,3.33,3.47,5200,8949,12,1,0,1,120,0,2,4,1
riesgoso,106,97.2,54.7,3.33,3.47,5200,9549,12,1,0,2,120,0,2,4,1
riesgoso,128,100.4,55.1,3.43,3.27,5200,13499,12,1,0,2,120,0,1,6,0
riesgoso,108,100.4,56.1,3.43,3.27,5200,14399,12,1,0,3,120,0,1,6,0
riesgoso,108,100.4,55.1,3.43,3.27,5200,13499,12,1,0,2,120,0,1,6,0
no-riesgoso,194,91.3,49.7,3.43,3.27,5200,17199,12,1,0,1,76,0,1,6,0
no-riesgoso,194,91.3,49.7,3.43,3.27,5200,19699,12,1,1,1,76,0,1,6,0
no-riesgoso,231,99.2,49.7,3.43,3.27,5200,18399,12,1,0,1,76,0,1,6,0
riesgoso,161,107.9,56.7,3.46,3.19,5000,11900,13,1,0,2,76,0,3,4,0
riesgoso,161,107.9,56.7,3.7,3.52,4150,13200,13,0,1,2,76,0,3,4,6
riesgoso,108,114.2,58.7,3.46,3.19,5000,12440,13,1,0,3,76,0,3,4,0
riesgoso,108,114.2,58.7,3.7,3.52,4150,13860,13,0,1,3,76,0,3,4,6
riesgoso,161,107.9,56.7,3.46,2.19,5000,15580,13,1,0,2,76,0,3,4,0
riesgoso,161,107.9,56.7,3.7,3.52,4150,16900,13,0,1,2,76,0,3,4,6
riesgoso,108,114.2,56.7,3.46,2.19,5000,16695,13,1,0,3,76,0,3,4,0
riesgoso,108,114.2,58.7,3.7,3.52,4150,17075,13,0,1,3,76,0,3,4,6
riesgoso,161,107.9,56.7,3.46,3.19,5000,16630,13,1,0,2,76,0,3,4,0
riesgoso,161,107.9,56.7,3.7,3.52,4150,17950,13,0,1,2,76,0,3,4,6
riesgoso,161,108.0,56.0,3.61,3.21,5600,18150,13,1,1,2,76,0,3,4,0
no-riesgoso,119,93.7,50.8,2.97,3.23,5500,5572,14,1,0,1,120,0,2,4,1
no-riesgoso,119,93.7,50.8,3.03,3.39,5500,7957,14,1,1,1,120,0,2,4,7
no-riesgoso,154,93.7,50.6,2.97,3.23,5500,6229,14,1,0,1,120,0,2,4,1
no-riesgoso,154,93.7,50.8,2.97,3.23,5500,6692,14,1,0,2,120,0,2,4,1
no-riesgoso,154,93.7,50.8,2.97,3.23,5500,7609,14,1,0,2,120,0,2,4,1
riesgoso,74,103.3,59.8,3.35,3.46,5000,8921,14,1,0,3,120,0,2,4,1
no-riesgoso,169,95.9,50.2,3.59,3.86,5000,12764,14,1,1,1,76,0,2,4,7
no-riesgoso,186,94.5,50.2,3.94,3.11,5500,22018,15,1,0,1,76,0,2,4,0
no-riesgoso,169,89.5,51.6,3.74,2.9,5900,32528,15,1,0,4,76,1,5,6,0
no-riesgoso,169,89.5,51.6,3.74,2.9,5900,34028,15,1,0,4,76,1,5,6,0
no-riesgoso,169,89.5,51.6,3.74,2.9,5900,37028,15,1,0,0,76,1,5,6,0
no-riesgoso,126,98.4,50.5,3.94,3.11,5750,7117,15,1,0,1,76,0,6,8,0
riesgoso,108,96.1,55.2,3.46,3.9,4970,9295,16,1,0,3,120,0,2,4,0
no-riesgoso,125,96.1,50.5,3.46,3.9,5120,9895,16,1,0,1,120,0,2,4,0
no-riesgoso,150,99.1,56.1,3.54,3.07,5250,11850,17,1,0,1,120,0,2,4,0
no-riesgoso,104,99.1,56.1,3.54,3.07,5250,12170,17,1,0,2,120,0,2,4,0
no-riesgoso,150,99.1,56.1,2.54,2.07,5250,15040,17,1,0,1,120,0,2,4,0
no-riesgoso,104,99.1,56.1,3.54,3.07,5250,15510,17,1,0,2,120,0,2,4,0
no-riesgoso,150,99.1,56.1,3.54,3.07,5500,18150,17,1,1,1,120,0,0,4,0
no-riesgoso,104,99.1,56.1,3.54,3.07,5500,18620,17,1,1,2,120,0,0,4,0
no-riesgoso,83,93.7,53.7,3.62,2.36,4900,5118,18,1,0,1,120,0,5,4,1
no-riesgoso,83,93.7,53.7,3.62,2.64,4400,7053,18,1,0,1,120,0,5,4,1
no-riesgoso,83,93.3,55.7,3.62,2.64,4400,7603,18,1,0,1,9,0,5,4,1
riesgoso,102,97.2,52.5,3.62,2.64,4800,7126,18,1,0,2,120,0,5,4,1
riesgoso,102,97.2,52.5,3.62,2.64,4400,7775,18,1,0,2,120,0,5,4,1
riesgoso,102,97.2,52.5,3.62,2.64,5200,9960,18,1,0,2,120,0,5,4,0
riesgoso,102,97.0,54.3,3.62,2.64,4800,9233,18,1,0,2,9,0,5,4,1
riesgoso,102,97.0,54.3,3.62,2.64,4800,11259,18,1,1,2,9,0,5,4,0
riesgoso,89,97.0,53.0,3.62,2.64,4800,7463,18,1,0,3,120,0,5,4,1
riesgoso,89,97.0,53.0,3.62,2.64,5200,10198,18,1,0,3,120,0,5,4,0
riesgoso,85,96.9,54.9,3.62,2.64,4800,8013,18,1,0,3,9,0,5,4,1
riesgoso,85,96.9,54.9,3.62,2.64,4800,11694,18,1,1,3,9,0,5,4,0
no-riesgoso,87,95.7,54.5,3.05,3.03,4800,5348,19,1,0,1,120,0,2,4,1
no-riesgoso,87,95.7,54.5,3.05,3.03,4800,6338,19,1,0,1,120,0,2,4,1
no-riesgoso,74,95.7,54.5,3.05,3.03,4800,6488,19,1,0,1,120,0,2,4,1
riesgoso,77,95.7,59.1,3.05,3.03,4800,6918,19,1,0,3,120,0,2,4,1
riesgoso,81,95.7,59.1,3.05,3.03,4800,7898,19,1,0,3,9,0,2,4,1
riesgoso,91,95.7,59.1,3.05,3.03,4800,8778,19,1,0,3,9,0,2,4,1
riesgoso,91,95.7,53.0,3.19,3.03,4800,6938,19,1,0,2,120,0,2,4,1
riesgoso,91,95.7,52.8,3.19,3.03,4800,7198,19,1,0,1,120,0,2,4,1
riesgoso,91,95.7,53.0,3.27,3.35,4500,7898,19,0,0,2,120,0,2,4,6
riesgoso,91,95.7,52.8,3.27,3.35,4500,7788,19,0,0,1,120,0,2,4,6
riesgoso,91,95.7,53.0,3.19,3.03,4800,7738,19,1,0,2,120,0,2,4,1
riesgoso,91,95.7,52.8,3.19,3.03,4800,8358,19,1,0,1,120,0,2,4,1
riesgoso,91,95.7,52.8,3.19,3.03,4800,9258,19,1,0,2,120,0,2,4,1
no-riesgoso,168,94.5,52.6,3.19,3.03,4800,8058,19,1,0,2,76,0,2,4,1
no-riesgoso,168,94.5,52.6,3.19,3.03,4800,8238,19,1,0,1,76,0,2,4,1
no-riesgoso,168,94.5,52.6,3.24,3.08,6600,9298,19,1,0,2,76,0,0,4,0
no-riesgoso,168,94.5,52.6,3.24,3.08,6600,9538,19,1,0,1,76,0,0,4,0
no-riesgoso,134,98.4,52.0,3.62,3.5,4800,8449,19,1,0,4,76,0,2,4,0
no-riesgoso,134,98.4,52.0,3.62,3.5,4800,9639,19,1,0,4,76,0,2,4,0
no-riesgoso,134,98.4,52.0,3.62,3.5,4800,9989,19,1,0,1,76,0,2,4,0
no-riesgoso,134,98.4,52.0,3.62,3.5,4800,11199,19,1,0,4,76,0,2,4,0
no-riesgoso,134,98.4,52.0,3.62,3.5,4800,11549,19,1,0,1,76,0,2,4,0
no-riesgoso,134,98.4,53.0,3.62,3.5,4800,17669,19,1,0,0,76,0,2,4,0
riesgoso,65,102.4,54.9,3.31,3.54,4200,8948,19,1,0,2,120,0,2,4,0
riesgoso,65,102.4,54.9,3.27,3.35,4500,10698,19,0,1,2,120,0,2,4,6
riesgoso,65,102.4,53.9,3.31,3.54,4200,9988,19,1,0,1,120,0,2,4,0
riesgoso,65,102.4,54.9,3.31,3.54,4200,10898,19,1,0,2,120,0,2,4,0
riesgoso,65,102.4,53.9,3.31,3.54,4200,11248,19,1,0,1,120,0,2,4,0
no-riesgoso,197,102.9,52.0,3.27,3.35,5200,16558,19,1,0,1,76,0,0,6,0
no-riesgoso,197,102.9,52.0,3.27,3.35,5200,15998,19,1,0,1,76,0,0,6,0
riesgoso,90,104.5,54.1,3.27,3.35,5200,15690,19,1,0,2,76,0,0,6,0
riesgoso,83,104.5,54.1,3.27,3.35,5200,15750,19,1,0,3,76,0,0,6,0
no-riesgoso,122,97.3,55.7,3.01,3.4,4800,7775,20,0,0,2,120,0,2,4,6
no-riesgoso,122,97.3,55.7,3.19,3.4,5250,7975,20,1,0,2,120,0,2,4,0
no-riesgoso,94,97.3,55.7,3.01,3.4,4800,7995,20,0,0,2,120,0,2,4,6
no-riesgoso,94,97.3,55.7,3.19,3.4,5250,8195,20,1,0,2,120,0,2,4,0
no-riesgoso,94,97.3,55.7,3.19,3.4,5250,8495,20,1,0,2,120,0,2,4,0
no-riesgoso,94,97.3,55.7,3.01,3.4,4500,9495,20,0,1,2,120,0,2,4,6
no-riesgoso,94,97.3,55.7,3.19,3.4,5500,9995,20,1,0,2,120,0,2,4,0
no-riesgoso,169,94.5,55.6,3.19,3.4,5500,11595,20,1,0,0,120,0,2,4,0
no-riesgoso,256,94.5,51.4,3.19,3.4,5500,9980,20,1,0,1,120,0,2,4,0
riesgoso,108,100.4,55.1,3.19,3.4,5500,13295,20,1,0,2,120,0,2,5,0
riesgoso,108,100.4,55.1,3.01,3.4,4500,13845,20,0,1,2,120,0,2,4,6
riesgoso,108,100.4,55.1,3.19,3.4,5500,12290,20,1,0,3,120,0,2,4,0
riesgoso,103,104.3,56.2,3.78,3.15,5400,12940,21,1,0,2,76,0,2,4,0
riesgoso,74,104.3,57.5,3.78,3.15,5400,13415,21,1,0,3,76,0,2,4,0
riesgoso,103,104.3,56.2,3.78,3.15,5400,15985,21,1,0,2,76,0,2,4,0
riesgoso,74,104.3,57.5,3.78,3.15,5400,16515,21,1,0,3,76,0,2,4,0
riesgoso,103,104.3,56.2,3.62,3.15,5100,18420,21,1,1,2,76,0,2,4,0
riesgoso,74,104.3,57.5,3.62,3.15,5100,18950,21,1,1,3,76,0,2,4,0
riesgoso,95,109.1,55.5,3.78,3.15,5400,16845,21,1,0,2,76,0,2,4,0
riesgoso,95,109.1,55.5,3.78,3.15,5300,19045,21,1,1,2,76,0,2,4,0
riesgoso,95,109.1,55.5,3.58,2.87,5500,21485,21,1,0,2,76,0,1,6,0
riesgoso,95,109.1,55.5,3.01,3.4,4800,22470,21,0,1,2,76,0,2,6,6
riesgoso,95,109.1,55.5,3.78,3.15,5400,22625,21,1,1,2,76,0,2,4,0
